Hold ID?,X-loc,Y-loc,spot-pos,Hold type 
,13,5,0,hardware
,12,4,27,hardware
,12,4,0,hardware
,12,5,27,hardware
,12,6,21,hardware
,11,3,21,hardware
,11,4,0,hardware
,11,4,35,hardware
,11,5,0,hardware
,11,5,21,hardware
,11,6,0,hardware
,11,6,21,hardware
,10,4,0,hardware
,10,5,0,hardware
,9,3,21,hardware
,9,6,21,hardware
,8,3,0,hardware
,8,3,21,hardware
,8,4,21,hardware
,8,5,21,hardware
,8,6,0,hardware
,8,6,21,hardware
,7,3,0,hardware
,7,5,27,hardware
,7,6,27,hardware
,6,3,0,hardware
,6,4,0,hardware
,6,4,21,hardware
,6,5,0,hardware
,6,5,21,hardware
,6,6,21,hardware
,5,6,21,hardware
,4,3,21,hardware
,4,4,21,hardware
,4,5,21,hardware
,4,6,0,hardware
,4,6,21,hardware
,3,3,21,hardware
,3,4,21,hardware
,3,5,0,hardware
,3,5,21,hardware
,3,6,0,hardware
,2,3,0,hardware
,2,3,21,hardware
,2,4,0,hardware
,2,5,27,hardware
,2,6,0,hardware
,1,5,27,hardware
